"
pierdoly/78.txt,"
"chora,0.0141"
"mama,0.0131"
"ja,0.0094"
"konferencja,0.0094"
"opiekun,0.0084"
"pamięć,0.0084"
"my,0.0084"
"leczenie,0.008"
"choroba,0.0079"
"wyjść,0.0065"
"
pierdoly/91.txt,"
"kani,0.0845"
"grzyb,0.0321"
"jadalny,0.0245"
"owocnik,0.0149"
"czubajka,0.0149"
"kwas,0.0143"
"smak,0.0128"
"gatunek,0.0128"
"kapelusz,0.0123"
"delikatny,0.0123"
"
pierdoly/63.txt,"
"wysoki,0.02"
"osobowość,0.0136"
"pewność,0.012"
"egocentryzm,0.0102"
"racja,0.0102"
"zawód,0.0068"
"odnajdować,0.0068"
"niepowodzenie,0.0068"
"dziennikarz,0.0068"
"egocentryczny,0.0068"
"
pierdoly/67.txt,"
"pustynia,0.0416"
"powietrze,0.0162"
"woda,0.0113"
"warunek,0.0108"
"gorący,0.0092"
"roślinność,0.0092"
"susza,0.0092"
"deszcz,0.0089"
"temperatura,0.0081"
"szybka,0.0081"
"
pierdoly/93.txt,"
"matka,0.0179"
"pani,0.0172"
"książka,0.0164"
"praca,0.0124"
"moja,0.0098"
"dziewięćdziesiąty,0.0076"
"jej,0.0072"
"śmierć,0.0062"
"gdyby,0.0055"
"bezpieczeństwo,0.0049"
"
pierdoly/58.txt,"
"car,0.0228"
"sejm,0.0185"
"książę,0.0114"
"carski,0.0114"
"tajny,0.0114"
"królestwo,0.01"
"trybunał,0.0093"
"śledztwo,0.0093"
"obrady,0.0093"
"obietnica,0.0093"
"
pierdoly/71.txt,"
"rekrutacja,0.0257"
"studia,0.0184"
"maturalny,0.0147"
"dyplom,0.0134"
"wasz,0.0134"
"uczelnia,0.0128"
"kierunek,0.0121"
"dana,0.0117"
"osobisty,0.0115"
"matura,0.011"
"
pierdoly/54.txt,"
"biegunka,0.0393"
"płyn,0.0241"
"elektrolit,0.0225"
"woda,0.0168"
"towarzyszący,0.0147"
"zadbać,0.0137"
"wystarczający,0.0137"
"doustny,0.0137"
"strata,0.0112"
"pokrycie,0.0112"
"
pierdoly/79.txt,"
"opiekun,0.0239"
"chory,0.0159"
"chora,0.0152"
"otępienie,0.0131"
"lekarz,0.0123"
"neurologia,0.0106"
"pamięć,0.0102"
"diagnoza,0.0093"
"klinik,0.0087"
"zdanie,0.0079"
"
pierdoly/55.txt,"
"sen,0.0372"
"senny,0.0129"
"marzenie,0.0129"
"wciąż,0.0101"
"nauka,0.0101"
"naukowy,0.0086"
"śnić,0.0086"
"badacz,0.0086"
"hipoteza,0.0086"
"konieczność,0.0068"
"
pierdoly/82.txt,"
"depresja,0.0321"
"ryzyko,0.0187"
"dwukierunkowy,0.0137"
"wzrost,0.0131"
"choroba,0.0125"
"związek,0.0119"
"hospitalizacja,0.0112"
"schorzenie,0.0107"
"układ,0.0106"
"szkieletowy,0.0091"
"
pierdoly/84.txt,"
"rak,0.0322"
"żołądek,0.023"
"badanie,0.0211"
"wczesny,0.0121"
"boleć,0.0121"
"złośliwy,0.0112"
"wykrycie,0.0112"
"odbijanie,0.0112"
"stadium,0.0112"
"łaknienie,0.0112"
"
pierdoly/86.txt,"
"woda,0.0299"
"organizm,0.0146"
"warunek,0.012"
"pragnienie,0.0117"
"iż,0.0105"
"temperatura,0.0086"
"wysoki,0.0069"
"ilość,0.0067"
"dzienny,0.0063"
"wraz,0.0063"
"
pierdoly/56.txt,"
"sen,0.0371"
"senny,0.0365"
"marzenie,0.0219"
"koszmar,0.0219"
"śnić,0.0182"
"faza,0.0133"
"przebudzenie,0.0133"
"nawracający,0.0089"
"zapamiętać,0.0089"
"mózg,0.0078"
"
pierdoly/95.txt,"
"partia,0.0272"
"holenderski,0.0268"
"parlament,0.0163"
"migracyjny,0.0163"
"prawicowy,0.0163"
"polityka,0.0134"
"wybór,0.0127"
"wyborczy,0.0109"
"koalicja,0.0109"
"muzułmanin,0.0109"
"
pierdoly/51.txt,"
"noworodek,0.0144"
"noc,0.0144"
"kosmetyk,0.0134"
"dziecko,0.0128"
"pokój,0.0096"
"niemowlak,0.0096"
"nawilżony,0.0089"
"spać,0.0089"
"mama,0.0077"
"ubranko,0.0074"
"
pierdoly/85.txt,"
"stresujący,0.0088"
"program,0.0088"
"nowotwór,0.0088"
"pacjent,0.0075"
"poczucie,0.0063"
"żołądek,0.0063"
"wsparcie,0.0058"
"stosować,0.0058"
"żyć,0.0058"
"jedzenie,0.0058"
"
pierdoly/73.txt,"
"jazda,0.0366"
"kierowca,0.0287"
"samochód,0.0258"
"manewr,0.0157"
"auto,0.0104"
