1 a 1115
2 polski 1112
3 on 1054
4 wieś 1029
5 położony 1012
6 powiat 1011
7 miasto 944
8 gmina 943
9 gmin 930
10 to 899
11 lata 887
12 województwo 882
13 miejscowość 863
14 zostać 850
15 we 847
16 oraz 814
17 który 801
18 o 768
19 region 714
20 jeden 596
21 lub 569
22 ta 564
23 po 536
24 amerykański 516
25 departament 477
26 jako 454
27 północny 446
28 zespół 445
29 znajdować 432
30 kraj 428
31 grupa 426
32 nazwa 423
33 rodzina 418
34 nie 416
35 wrzesień 381
36 gatunek 373
37 mieszkaniec 373
38 występować 373
39 luty 366
40 maj 365
41 październik 365
42 marzec 364
43 ten 360
44 listopad 359
45 styczeń 358
46 świat 352
47 główny 349
48 także 334
49 dla 332
50 częsty 331
51 pod 326
52 lipiec 322
53 hrabstwo 322
54 pozycja 321
55 album 317
56 kwiecień 315
57 czerwiec 313
58 piłkarz 312
59 południowy 310
60 również 307
61 prowincja 305
62 przy 305
63 planetoida 304
64 rodzaj 304
65 sierpień 303
66 nowy 302
67 stan 301
68 język 297
69 zachód 296
70 niemiecki 296
71 za 288
72 kościół 285
73 zachodni 284
74 leże 281
75 stać się 279
76 grudzień 272
77 siedziba 272
78 miejsce 270
79 oko 268
80 odkryty 263
81 nad 260
82 wojna 260
83 dystrykt 258
84 obecnie 258
85 liczyć 258
86 jak 256
87 czas 252
88 film 249
89 jej 247
90 ona 246
91 wielki 245
92 warszawa 242
93 pierwsza 239
94 wyspa 238
95 powstać 237
96 wschodni 236
97 pas 234
98 inny 234
99 pierwszy 230
100 ze 229
101 dzień 227
102 stacja 226
103 wschód 226
104 należący 224
105 rzeka 223
106 skład 223
107 klub 222
108 polityk 222
109 średni 220
110 drugi 217
111 mistrzostwa 217
112 odległość 212
113 ciąg 209
114 wiek 208
115 część 207
116 teren 207
117 wydać 205
118 podczas 202
119 grać 202
120 słońce 201
121 kolejowy 200
122 gra 200
123 około 195
124 co 194
125 według 194
126 typ 190
127 system 190
128 osoba 189
129 związkowy 188
130 rosa 185
131 parafia 185
132 francuski 184
133 ma 180
134 okrążający 179
135 dwa 177
136 góra 176
137 członek 175
138 światowy 173
139 sezon 173
140 asteroida 172
141 droga 172
142 u 170
143 tytuł 169
144 linia 168
145 północ 168
146 powierzchnia 166
147 muzyczny 165
148 znajdujący 163
149 dana 162
150 raz 157
151 okres 156
152 że 155
153 rosyjski 155
154 związek 153
155 mieć 152
156 należeć 152
157 obszar 151
158 zjednoczony 151
159 utwór 150
160 wchodzić 149
161 pochodzić 149
162 firma 149
163 olimpijski 147
164 uniwersytet 145
165 imię 142
166 górny 141
167 ulica 141
168 mistrz 141
169 taż 140
170 płyta 138
171 między 138
172 europ 137
173 największy 137
174 galaktyka 137
175 dzielnica 137
176 park 136
177 syn 135
178 znać 135
179 pisarz 135
180 wynik 135
181 swoja 135
182 znany 132
183 piłkarski 131
184 muzyka 131
185 lotniczy 131
186 katolicki 129
187 wysokość 129
188 autor 128
189 rząd 128
190 działacz 128
191 kobieta 127
192 stolica 127
193 król 127
194 założony 126
195 port 126
196 wiele 126
197 administracyjny 126
198 wojsko 126
199 cel 125
200 odbyć 125
201 drużyna 125
202 narodowy 125
203 długość 124
204 seria 123
205 pochodzenie 122
206 szczyt 121
207 różny 121
208 pomiędzy 121
209 dolina 120
210 taki 120
211 obwód 120
212 głównie 119
213 filmowy 119
214 historia 118
215 jednostka 118
216 dawny 117
217 aktor 117
218 obejmować 116
219 rejon 116
220 praca 115
221 wydany 114
222 mężczyzna 114
223 serial 114
224 liczba 114
225 wynosić 113
226 środkowa 113
227 republika 113
228 pomocnik 112
229 przed 112
230 tylko 112
231 gdzie 112
232 trzy 112
233 partia 111
234 dolny 110
235 roślina 110
236 cały 109
237 jednak 109
238 liga 108
239 najwyższy 108
240 sam 107
241 diecezja 107
242 międzynarodowy 106
243 metr 106
244 posiadać 105
245 granica 104
246 reprezentacja 104
247 południe 104
248 dekanat 103
249 obrońca 103
250 wojskowy 103
251 czy 103
252 strona 103
253 forma 103
254 herb 103
255 profesor 102
256 życie 102
257 zawodnik 102
258 wersja 100
259 program 100
260 krajowy 100
261 prawo 100
262 postać 99
263 angielski 98
264 igrzyska 98
265 armia 97
266 sejm 97
267 może 96
268 duży 96
269 człowiek 96
270 jezioro 95
271 organizacja 95
272 państwo 95
273 kilka 94
274 społeczny 94
275 rzymskokatolicki 94
276 puchar 94
277 rola 94
278 strefa 94
279 nauka 93
280 piosenka 93
281 piłka 93
282 centrum 93
283 władza 92
284 reżyseria 92
285 trzeci 91
286 nagroda 91
287 włosek 91
288 ostatni 90
289 osada 90
290 proces 90
291 ziemia 90
292 powieść 89
293 wzgląd 89
294 miejski 89
295 reprezentant 89
296 sztuka 89
297 odkryć 88
298 żydowski 88
299 gwiazdozbiór 88
300 otwarty 87
301 wiejski 87
302 biskup 87
303 element 86
304 model 86
305 lista 85
306 wszyscy 85
307 biały 85
308 bycie 85
309 minister 84
310 poseł 84
311 cztery 84
312 centralny 84
313 ale 84
314 woda 83
315 mała 83
316 udział 83
317 zajmować 82
318 nim 82
319 wybrzeże 82
320 la 82
321 ul 82
322 prowadzić 81
323 utworzony 81
324 europejski 81
325 turniej 81
326 używać 81
327 najlepszy 81
